id,phase,name_zh,scaled_low_s,scaled_mode_s,scaled_high_s,scale_factor,notes
sensor_revisit_confirmation,Observe,传感器重访与连续确认,0.14074525485545933,0.2932192809488736,0.645082418087522,1.1728771237954945,雷达/RF 至少一次重访，形成可用初始告警
track_initiation,Observe,航迹起始与稳定化,0.10074525485545933,0.22667682342478349,0.5037262742772967,1.2593156856932417,多目标规模增加关联与稳定化负担
sensor_data_uplink,Observe,传感数据上行通信,0.01629657842846621,0.04345754247590989,0.10864385618977473,1.0864385618977472,传感节点至融合/C2 节点的数据传输与排队
multisensor_correlation_id,Orient,多传感关联与身份识别,0.1345754247590989,0.3229810194218373,0.740164836175044,1.345754247590989,雷达/RF/光电航迹关联、分类与置信度更新
semantic_threat_assessment,Orient,本体语义威胁评估,0.033643856189774723,0.09420279733136923,0.21532067961455822,1.345754247590989,结合资产、轨迹、ROE 和能力约束生成威胁排序
c2_data_transport,Decide,C2 数据与告警通信,0.01629657842846621,0.05432192809488737,0.13037262742772968,1.0864385618977472,融合节点、指挥席和效应器控制节点之间的消息传输
weapon_target_allocation,Decide,资源约束武器-目标分配,0.06074525485545934,0.1670494508525132,0.4252167839882154,1.5186313713864834,显式考虑通道数、循环周期、弹药/能量与射界
human_authorization,Decide,人工授权与 ROE 核验,0.2,0.55,1.2,1.0,主场景按单批次授权；逐目标授权作为压力工况
exception_rework_queue,Decide,异常复核与排队附加时延,0.43457542475909894,1.0864385618977472,2.607452548554593,1.0864385618977472,仅在 6% 标称仿真中触发，表示身份冲突、ROE 复核或链路重传；未触发时为 0
effector_command_downlink,Act,效应器指令下行通信,0.015648289214233103,0.04694486764269931,0.1147541209043761,1.0432192809488736,授权指令、目标指示和交战参数下发
cue_and_aim,Act,高功率微波提示、瞄准与稳定,0.1,0.22,0.48,1.0,效应器专属提示/瞄准过程
effect_delivery,Act,高功率微波首个效应到达,0.06,0.15,0.32,1.0,阵面指向、脉冲序列与首个群目标效应
battle_damage_assessment,Feedback,毁伤/失效评估与反馈,0.14074525485545933,0.3518631371386483,0.8210139866568461,1.1728771237954945,传感器确认目标失效或需要再次分配
